,from,to,pval,fdr,value
422,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G30750,0.00799200799200799,0.0138808559861191,2
423,AT1G29860,AT2G30750,0.004995004995005,0.011094674556213,2
424,AT2G40740,AT2G30750,0.004995004995005,0.011094674556213,2
425,AT4G32280,AT5G44990,0.00699300699300699,0.0128887070376432,2
426,AT5G43290,AT5G44990,0.002997002997003,0.00906953308700034,2
427,AT5G43290,AT5G38900,0.002997002997003,0.00906953308700034,2
428,AT1G62300,AT5G38900,0.004995004995005,0.011094674556213,2
429,AT1G62300,AT1G18390,0.001998001998002,0.00728744939271255,2
430,AT3G23230,AT1G18390,0.003996003996004,0.0103329506314581,2
431,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G78860,0.016983016983017,0.0207204767063922,2
432,AT1G62300,AT1G78860,0.017982017982018,0.0217099973197534,2
433,AT2G40740,AT1G78860,0.010989010989011,0.0155733836715432,2
434,mean_AT5G03740-AT1G56170,AT1G78860,0.00999000999000999,0.0150175204405139,2
435,AT1G29860,AT1G78860,0.00899100899100899,0.0142907551164432,2
436,AT3G23230,AT1G56240,0.000999000999000999,0.00440960313571779,2
437,AT2G33710,AT4G39830,0.024975024975025,0.0283268286541609,2
438,AT2G40740,AT4G39830,0.022977022977023,0.0265384615384615,2
439,AT1G29860,AT4G39830,0.011988011988012,0.0163859808830223,2
440,mean_AT5G03740-AT1G56170,AT4G39830,0.00899100899100899,0.0142907551164432,2
441,AT3G23230,AT4G39830,0.00899100899100899,0.0142907551164432,2
442,AT5G43290,AT5G03700,0.000999000999000999,0.00440960313571779,2
