label;logFC;logCPM;FDR;Regulation;Gene_ID
2-OXOGLUTARATE OXYGENASE;-2.02321879226631;-17.4913766033026;7.50160069048936e-39;Down;AT3G19010.1
PGRL1B;1.67687486508305;-17.3082931189867;8.96533980381229e-39;Up;AT4G11960.1
AT2G05185;1.9118823868654;-20.7998002774287;1.01290557861012e-38;Up;AT2G05185.1
ORF110B;9.53150145767411;-22.9161648329282;2.08500207039824e-38;Up;ATMG00630.1
FRO3;1.60778585937471;-18.9824565226935;2.1462307981712e-38;Up;AT1G23020.2
CAD1;-1.67233758826725;-17.8227036106392;2.28325133185805e-38;Down;AT5G44070.1
RSG2;1.70504002840624;-20.5962815122203;3.76425541105403e-38;Up;AT5G43730.1
ATWHY2;1.68947356944957;-18.8076761832067;5.58899530860932e-38;Up;AT1G71260.1
PAP28;2.15826474833262;-19.5842849823045;6.20847167587446e-38;Up;AT5G57140.1
EMB2411;-1.87123485121027;-21.3018494037212;7.65257926390397e-38;Down;AT1G08840.3
KUF1;2.04171133200138;-21.152543984007;7.84581836502068e-38;Up;AT1G31350.2
AUXILIN-LIKE4;1.5985502826418;-17.9923545011346;1.50080234634312e-37;Up;AT4G36520.1
CASPL5A1;1.52165261325514;-18.8612137886818;2.16513476540893e-37;Up;AT2G37200.2
AT5G66960;2.694582645623;-21.048691710362;2.75954036289375e-37;Up;AT5G66960.1
AT1G05675;-4.02738176488485;-21.8703899037801;2.86796393252645e-37;Down;AT1G05675.1
EMB2219;1.7673726753863;-20.2319045092134;4.85134724603591e-37;Up;AT2G21710.1
AT4G01595;1.52980577395311;-20.2804763565709;5.61469710556968e-37;Up;AT4G01595.1
GDPD4;1.58759029338179;-18.8151826947919;9.62897849400287e-37;Up;AT1G71340.1
AT3G04160;1.61763118605984;-19.5690978208606;1.45169844872072e-36;Up;AT3G04160.2
IGMT2;-3.08697451268116;-19.2227598311526;1.9320993850038e-36;Down;AT1G21120.2
CINV1;-1.51666085748981;-17.9419202679188;2.58933008072646e-36;Down;AT1G35580.1
TOC1;1.61722515861479;-18.8624553489991;2.63466575410665e-36;Up;AT5G61380.1
NHL12;-2.03719973043874;-19.8903855607364;3.34713199605779e-36;Down;AT2G35960.1
SES1;1.84661538696671;-17.9092466976414;3.34713199605779e-36;Up;AT4G29520.1
SWEET12;2.27777350140546;-18.3780941311725;4.07675853047644e-36;Up;AT5G23660.1
AT2G36730;2.47842616741545;-21.0952071153381;4.28776094939542e-36;Up;AT2G36730.1
LECRK-I.4;2.4705157569234;-20.5592459173967;5.488063099251e-36;Up;AT3G45420.1
AT5G23480;2.13021475006851;-21.2616505562359;5.57075853958536e-36;Up;AT5G23480.2
GPN3;1.7091848959545;-17.3013953620408;6.362516238934e-36;Up;AT4G12790.1
AT5G21100;1.61970085704164;-17.1093356241773;1.1694130408045e-35;Up;AT5G21100.1
CRT1A;1.51991547862217;-15.154501122504;2.45230028017329e-35;Up;AT1G56340.1
AT5G27330;2.13569177281688;-18.8836910771088;2.76153511777079e-35;Up;AT5G27330.1
RECEPTOR-LIKE PROTEIN KINASE;-1.58999948757;-18.2752566366368;3.93329689839799e-35;Down;AT1G70530.1
PAL4;-1.85927623209233;-20.4555262231828;3.93634061197294e-35;Down;AT3G10340.1
SHM4;-1.6316736761856;-17.0343526074982;6.00666863018056e-35;Down;AT4G13930.1
